2023-02-21 14:07:38,039 INFO    StreamThr :22436 [internal.py:wandb_internal():87] W&B internal server running at pid: 22436, started at: 2023-02-21 14:07:38.039839
2023-02-21 14:07:38,040 DEBUG   HandlerThread:22436 [handler.py:handle_request():144] handle_request: status
2023-02-21 14:07:38,048 INFO    WriterThread:22436 [datastore.py:open_for_write():85] open: C:\Users\Roland\MLOps\Udacity\wandb\run-20230221_140738-16vz5egj\run-16vz5egj.wandb
2023-02-21 14:07:38,048 DEBUG   SenderThread:22436 [sender.py:send():336] send: header
2023-02-21 14:07:38,189 DEBUG   SenderThread:22436 [sender.py:send():336] send: run
2023-02-21 14:07:38,584 INFO    SenderThread:22436 [dir_watcher.py:__init__():216] watching files in: C:\Users\Roland\MLOps\Udacity\wandb\run-20230221_140738-16vz5egj\files
2023-02-21 14:07:38,584 INFO    SenderThread:22436 [sender.py:_start_run_threads():1067] run started: 16vz5egj with start time 1677006458.039838
2023-02-21 14:07:38,585 DEBUG   SenderThread:22436 [sender.py:send_request():363] send_request: summary_record
2023-02-21 14:07:38,585 INFO    SenderThread:22436 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-02-21 14:07:38,586 DEBUG   HandlerThread:22436 [handler.py:handle_request():144] handle_request: check_version
2023-02-21 14:07:38,586 DEBUG   SenderThread:22436 [sender.py:send_request():363] send_request: check_version
2023-02-21 14:07:38,679 DEBUG   HandlerThread:22436 [handler.py:handle_request():144] handle_request: run_start
2023-02-21 14:07:38,690 DEBUG   HandlerThread:22436 [system_info.py:__init__():31] System info init
2023-02-21 14:07:38,690 DEBUG   HandlerThread:22436 [system_info.py:__init__():46] System info init done
2023-02-21 14:07:38,690 INFO    HandlerThread:22436 [system_monitor.py:start():151] Starting system monitor
2023-02-21 14:07:38,690 INFO    SystemMonitor:22436 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-21 14:07:38,690 INFO    HandlerThread:22436 [system_monitor.py:probe():172] Collecting system info
2023-02-21 14:07:38,695 INFO    SystemMonitor:22436 [interfaces.py:start():168] Started cpu
2023-02-21 14:07:38,695 DEBUG   HandlerThread:22436 [system_info.py:probe():195] Probing system
2023-02-21 14:07:38,695 INFO    SystemMonitor:22436 [interfaces.py:start():168] Started disk
2023-02-21 14:07:38,695 INFO    SystemMonitor:22436 [interfaces.py:start():168] Started memory
2023-02-21 14:07:38,705 INFO    SystemMonitor:22436 [interfaces.py:start():168] Started network
2023-02-21 14:07:38,706 DEBUG   HandlerThread:22436 [system_info.py:_probe_git():180] Probing git
2023-02-21 14:07:38,776 DEBUG   HandlerThread:22436 [system_info.py:_probe_git():188] Probing git done
